character,comic,reality,identity,alignment,eye_color,hair_color,sex,lgbtq,lgbtq_note,alive,appearances,first_appear_date,first_appear_year
Gregori,Marvel,Earth-616,,,,Brown,Male,No,,Living,1,"1963, June 01",1963
Gregori (Genosha),Marvel,Earth-616,Public Identity,Neutral,Blue,Red,Male,No,,Living,1,"1999, September 01",1999
Gregori Anatolovich,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,1,,
Gregori Arcane,DC,New Earth,Secret Identity,Neutral,,Black,Male,No,,Living,18,"1973, January",1973
Gregori Eilovitch Rasputin,DC,New Earth,,Good,,Black,Male,No,,Living,8,"1989, June",1989
Gregori Kronski,Marvel,Earth-616,Secret Identity,Neutral,,,Male,No,,Deceased,9,"1974, June 01",1974
Gregori Larionov,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,3,"1983, July 01",1983
Gregori Surorov,Marvel,Earth-616,,,,,Male,No,,Living,,,
Gregorio de la Vega,DC,New Earth,Secret Identity,Good,,Black,Male,Yes,Homosexual,Living,29,"1988, January",1988
Gregory Belial,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Deceased,8,"1992, December 01",1992
Gregory Bestman,Marvel,Earth-616,Public Identity,Neutral,,Grey,Male,No,,Living,3,"1983, May 01",1983
Gregory Bryan,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,4,"2022, November 04",2004
Gregory Dunbar,Marvel,Earth-616,Public Identity,Neutral,,Brown,Male,No,,Living,1,"1987, November 01",1987
Gregory Gideon,Marvel,Earth-616,No Dual Identity,Bad,Brown,Bald,Male,No,,Deceased,7,"1965, January 01",1965
Gregory Herd,Marvel,Earth-616,Secret Identity,Neutral,Blue,Black,Male,No,,Living,22,"1995, November 01",1995
Gregory Jupiter,DC,New Earth,Public Identity,Bad,Blue,Grey,Male,No,,Living,10,"2004, July",2004
Gregory Nettles,Marvel,Earth-616,Public Identity,Bad,Brown,Brown,Male,No,,Deceased,16,"1983, February 01",1983
Gregory O'Sullivan,Marvel,Earth-616,Secret Identity,Neutral,,Blond,Male,No,,Deceased,,"1992, June 01",1992
Gregory Osborne,DC,New Earth,,Neutral,,,Male,No,,Living,7,"1987, August",1987
Gregory Russoff,Marvel,Earth-616,Public Identity,,,Grey,Male,No,,Deceased,7,"1972, February 01",1972
Gregory Sale,Marvel,Earth-616,No Dual Identity,Bad,Brown,Brown,Male,No,,Living,1,,
Gregory Sanders,DC,New Earth,Secret Identity,Good,Brown,Brown,Male,No,,Living,45,"1941, November",1941
Gregory Slivovitz,Marvel,Earth-616,Secret Identity,Bad,,Brown,Male,No,,Living,2,"1994, August 01",1994
Gregory Smith,Marvel,Earth-616,Secret Identity,Bad,,White,Male,No,,Deceased,1,"1945, January 01",1945
Gregory Smoot,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,1,"1989, June 01",1989
Gregory Stevens,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,3,"1992, March 01",1992
Gregory Terraerton,Marvel,Earth-616,Secret Identity,Bad,Yellow,No Hair,Male,No,,Deceased,10,"1993, August 01",1993
Gregory the Gargoyle,DC,New Earth,,Good,,,Male,No,,Living,5,,
Gregory Wolfe,DC,New Earth,Public Identity,Neutral,Brown,Black,Male,No,,Living,14,,
Gregson Gilbert,Marvel,Earth-616,Public Identity,Good,Brown,Brown,Male,No,,Living,8,"1965, February 01",1965
Gregson Grant,Marvel,Earth-616,,Neutral,,,Male,No,,Living,2,"1972, November 01",1972
Greithoth,Marvel,Earth-616,Public Identity,Bad,Orange,Bald,Male,No,,Living,3,"2022, August 11",2011
Gremlin (Synthozoid),Marvel,Earth-616,Secret Identity,Bad,Red,No Hair,,No,,Living,3,"2022, November 02",2002
Grendel,DC,New Earth,Public Identity,Bad,Brown,,Male,No,,Deceased,13,"1975, May",1975
Grendell (Dark Elf),Marvel,Earth-616,Secret Identity,Bad,White,,Male,No,,Living,4,"1987, March 01",1987
Greta Abbott,Marvel,Earth-616,Public Identity,Bad,,Blond,Female,No,,Deceased,4,"2022, February 06",2006
Greta Hayes,DC,New Earth,Secret Identity,Good,Blue,Blond,Female,No,,Living,84,"1998, June",1998
Gretchen Carrenna,Marvel,Earth-616,Public Identity,Neutral,Black,Blond,Female,No,,Deceased,1,"1989, December 01",1989
Gretchen Kelley,DC,New Earth,Public Identity,,,Grey,Female,No,,Living,31,"1987, February",1987
Gretchen Zeller,Marvel,Earth-616,Secret Identity,,Blue,Red,Female,No,,Living,3,"2022, May 06",2006
Gretl Anders,Marvel,Earth-616,Public Identity,Neutral,Blue,Red,Female,No,,Deceased,4,"1984, January 01",1984
Gretti,DC,New Earth,Public Identity,Bad,Black,Violet,Male,No,,Deceased,9,"1983, May",1983
Grey Eagle,Marvel,Earth-616,Public Identity,Good,,Black,Male,No,,Living,6,"1951, January 01",1951
Grey Elk,DC,New Earth,,Good,,,Male,No,,Living,2,"1971, December",1971
Grey Gidden,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,1,"1940, October 01",1940
Grey Wolf,DC,New Earth,,Bad,,,Male,No,,Living,2,"1971, December",1971
Greyval Grimson,Marvel,Earth-616,Public Identity,,,Brown,Male,No,,Deceased,1,,
Griefsavor,Marvel,,,Bad,,,,No,,Living,1,"1992, December 01",1992
Griffe,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,1,"1998, January 01",1998
Griffin Gogol,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Living,24,"1976, December 01",1976
Griffin Grey,DC,New Earth,Public Identity,Bad,Blue,Grey,Male,No,,Deceased,6,"2006, August",2006
Grigar,Marvel,Earth-616,,,,Brown,Male,No,,Living,9,"1974, April 01",1974
Grigor Ivanovich Pchelintsov,Marvel,Earth-616,Public Identity,Bad,,White,Male,No,,Living,2,"2022, February 05",2005
Grigori,Marvel,Earth-616,,Bad,Brown,Black,Male,No,,Living,3,"2022, February 11",2011
Grigori Andreivitch,Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Living,6,"1992, November 01",1992
Grigory (Rasputin),Marvel,Earth-616,Secret Identity,Neutral,,Black,Male,No,,Living,1,"2022, November 05",2005
Grigory Efimovich Rasputin,Marvel,Earth-616,Public Identity,Bad,Black,Black,Male,No,,Deceased,5,"2022, November 05",2005
Grigory Grigorievich Rasputin,Marvel,Earth-616,Secret Identity,Neutral,,Black,Male,No,,Deceased,1,"2022, November 05",2005
Grigory Russoff,Marvel,Earth-616,No Dual Identity,Neutral,Brown,Black,Male,No,,Living,3,"1974, March 01",1974
Grim Guardian,Marvel,Earth-616,,Bad,Blue,Blond,Male,No,,Living,1,"1993, January 01",1993
Grim Magnus,Marvel,Earth-616,,,,,Male,No,,Living,1,,
Grimbat,Marvel,Earth-616,Secret Identity,Bad,,No Hair,Male,No,,Living,4,"1993, January 01",1993
Grimgerda,Marvel,Earth-616,,Neutral,,Blond,Female,No,,Living,1,"1966, October 01",1966
Grimgerta,Marvel,Earth-616,,Good,,,Female,No,,Living,1,"1981, September 01",1981
Grimm,Marvel,Earth-616,Public Identity,Bad,Black,Black,Male,No,,Deceased,6,"1994, February 01",1994
Grimm,DC,New Earth,Public Identity,Bad,,,Male,No,,Living,10,1999,1999
Grimm the Sorcerer,Marvel,Earth-616,,,Blue,Brown,Male,No,,Living,7,"1984, October 01",1984
Grimsey,Marvel,Earth-616,Public Identity,Bad,,Grey,Male,No,,Living,1,"1940, March 01",1940
Grind,Marvel,Earth-616,Secret Identity,Bad,Black,Black,Male,No,,Living,1,"1995, March 01",1995
Grindhouse,Marvel,Earth-616,Secret Identity,Bad,,Purple,Female,No,,Living,1,"2022, October 06",2006
Gris Gris,Marvel,Earth-616,Secret Identity,Neutral,Brown,Black,Male,No,,Living,7,"1995, January 01",1995
Grithstane,Marvel,Earth-616,,Good,,Grey,Male,No,,Living,1,"1975, July 01",1975
Grizzly (AIM Agent),Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,,"1969, December 01",1969
Grizzly Grogan,Marvel,Earth-616,Public Identity,Bad,,,Male,No,,Living,1,"1963, July 01",1963
Gro,Marvel,Earth-616,Secret Identity,Neutral,,Blond,Female,No,,Living,3,"2022, July 02",2002
Grockk,DC,New Earth,,Bad,,,Male,No,,Living,1,"1981, October",1981
Grog,Marvel,Earth-616,Public Identity,Bad,Brown,Black,Male,No,,Living,10,"1988, April 01",1988
Grog (Ape-Man),Marvel,Earth-616,No Dual Identity,Bad,Yellow,Black,Male,No,,Living,1,"2022, October 09",2009
Grogarr,Marvel,Earth-616,,Good,,,,No,,Deceased,1,"1979, August 01",1979
Grogg,Marvel,Earth-616,Secret Identity,Good,,No Hair,Male,No,,Living,10,"1961, April 01",1961
Grokk,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,8,"1998, August",1998
Grokko,Marvel,Earth-616,Public Identity,Bad,,,Male,No,,Living,1,"1973, August 01",1973
Grolf,Marvel,Earth-616,,Bad,,Black,Male,No,,Living,1,"1984, December 01",1984
Grom,Marvel,Earth-616,Secret Identity,Neutral,Black,Red,Male,No,,Living,41,"1971, August 01",1971
Grombar,Marvel,Earth-616,Public Identity,,,White,Male,No,,Living,1,"1976, September 01",1976
Gron,Marvel,Earth-616,Secret Identity,Good,Blue,Bald,Male,No,,Living,2,,
Grond,Marvel,Earth-616,No Dual Identity,Bad,,,,No,,Deceased,1,"1975, January 01",1975
Grondaar,Marvel,Earth-616,Public Identity,Good,Red,Grey,Male,No,,Deceased,1,"2022, September 09",2009
Grondar,Marvel,Earth-616,,,,White,Male,No,,Living,1,"1977, October 01",1977
Gronk,Marvel,Earth-616,Secret Identity,Bad,Yellow,No Hair,Male,No,,Living,13,"1981, January 01",1981
Groonk,Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,2,"1992, February 01",1992
Groot,Marvel,Earth-616,No Dual Identity,Good,Black,No Hair,Male,No,,Living,92,"1960, November 01",1960
Grosso,Marvel,Earth-616,Public Identity,Bad,Black,Black,Male,No,,Deceased,1,"1941, October 01",1941
Grot,Marvel,Earth-616,,Good,,,,No,,Living,,"1995, March 01",1995
Grotto,Marvel,Earth-616,Public Identity,Bad,,,Male,No,,Living,4,"1981, January 01",1981
Grottu,Marvel,Earth-616,,Bad,Black,Bald,Male,No,,Living,9,"1960, February 01",1960
Groundswell,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,3,"2000, May",2000
Grove,Marvel,Earth-616,Secret Identity,Neutral,Brown,Brown,Male,No,,Living,1,,
Grovel,Marvel,Earth-616,Secret Identity,,,,,No,,Living,5,"1997, September 01",1997
Grover Baines,DC,New Earth,Public Identity,Good,Brown,Brown,Male,No,,Living,1,"1989, June",1989
Grover Cleveland,DC,New Earth,,Good,,Brown,Male,No,,Living,1,"1999, August",1999
Grover Raymond,Marvel,Earth-616,Secret Identity,Bad,Brown,Black,Male,No,,Deceased,10,"1974, February 01",1974
Growler,Marvel,Earth-616,,Good,,,,No,,Living,1,"1984, December 01",1984
Growler,DC,New Earth,,Good,,Black,Male,No,,Living,11,"1998, April",1998
Groza,Marvel,Earth-616,Secret Identity,Good,,Bald,Male,No,,Deceased,1,"2022, March 05",2005
Grrix,Marvel,Earth-616,Public Identity,Bad,Green,No Hair,Male,No,,Living,,"2022, August 08",2008
Gru,Marvel,Earth-616,,,,,Male,No,,Deceased,1,"1941, March 01",1941
Gruenhilda,Marvel,Earth-616,,Good,,Red,Female,No,,Living,5,"2022, January 11",2011
Grult,Marvel,Earth-616,Secret Identity,,,Grey,Male,No,,Living,3,"1982, June 01",1982
Grumb,DC,New Earth,,Good,Purple,,Male,No,,Living,5,"2005, October",2005
Grundok,Marvel,Earth-616,,,,Bald,Male,No,,Living,,"1996, May 01",1996
Grundor,Marvel,Earth-616,,Bad,,,Male,No,,Living,2,"1989, October 01",1989
Grundroth,Marvel,Earth-616,Public Identity,Bad,,Bald,Male,No,,Living,6,"1987, January 01",1987
Grungnir,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1986, January 01",1986
Gruto,Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,,"1961, April 01",1961
Grylak,Marvel,Earth-616,,Bad,Red,Purple,Male,No,,Living,1,"1991, December 01",1991
Gu Lao,DC,New Earth,Public Identity,Good,Black,,Male,No,,Living,13,"2006, June",2006
Gualicho,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,1,"2000, September",2000
Guard Dog,Marvel,Earth-616,Secret Identity,Bad,,No Hair,,No,,Living,,"2022, December 12",2012
Guardian (Lizard People),Marvel,Earth-616,Secret Identity,Neutral,,No Hair,,No,,Deceased,1,"1978, December 01",1978
Guardian (Robot),Marvel,Earth-616,,Bad,White,No Hair,Male,No,,Living,1,,
Guardian (Triad),Marvel,Earth-616,Secret Identity,Good,,,,No,,Living,5,"1985, June 01",1985
Guardian of Hy-Brasil,DC,New Earth,Public Identity,Good,,Green,Female,No,,Living,4,"1996, February",1996
Guardian of Infinity,Marvel,Earth-616,,,,,Male,No,,Living,2,"1971, February 01",1971
Guardian of the Millennium Monarch,Marvel,Earth-616,Public Identity,Good,,,,No,,Living,1,"2000, May 01",2000
Guardian of the Spirit World,Marvel,Earth-616,Secret Identity,Neutral,,Black,Male,No,,Living,1,"1942, February 01",1942
Gudra,DC,New Earth,Secret Identity,Bad,Blue,Blond,Female,No,,Living,18,"1946, October",1946
Gudrun (Asgardian),Marvel,Earth-616,,Good,,Blond,Female,No,,Living,9,"1985, November 01",1985
Gudrun the Golden,Marvel,Earth-616,Public Identity,Bad,,Blond,Male,No,,Living,1,,
Gudrun Tyburn,Marvel,Earth-616,Public Identity,Bad,Brown,White,Female,No,,Living,28,"1992, June 01",1992
Guide,Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,7,"1992, August 01",1992
Guido Carosella,Marvel,Earth-616,Secret Identity,Neutral,Brown,Bald,Male,No,,Living,236,"1985, July 01",1985
Guido Garibaldi,DC,New Earth,Public Identity,,Blue,Black,Male,No,,Living,11,"1986, January",1986
Guido Sapristi,Marvel,Earth-616,Public Identity,Good,,,Male,No,,Living,29,"1984, March 01",1984
Guillaume Courage,Marvel,Earth-616,Secret Identity,Bad,Red,Black,Male,No,,Living,7,"1991, September 01",1991
Guillermo Barrera,DC,New Earth,Secret Identity,Bad,Brown,Black,Male,No,,Living,23,"1998, July",1998
Guilt,DC,New Earth,Secret Identity,Bad,Green,Blue,Genderless,No,,Living,1,"2005, July",2005
Guinevere,Marvel,Earth-616,Public Identity,Good,,Black,Female,No,,Living,3,"1955, May 01",1955
Guinevere,DC,New Earth,Public Identity,Good,,Blond,Female,No,,Living,15,"1936, February",1936
Guinness (Heroes Reborn),Marvel,Earth-616,,Good,,,Male,No,,Living,1,"2000, January 01",2000
Guiseppe Tamarelli,Marvel,Earth-616,Public Identity,,,,Male,No,,Living,,"1975, October 01",1975
Gulacia,DC,New Earth,Public Identity,Neutral,Hazel,Brown,Female,No,,Living,2,"1990, May",1990
Gulka,Marvel,Earth-616,Public Identity,Bad,Black,Black,Male,No,,Living,1,"1985, September 01",1985
Gullin (Boar God),Marvel,Earth-616,Public Identity,Bad,,Brown,Male,No,,Living,3,"1964, April 01",1964
Gullinbursti,Marvel,Earth-616,Public Identity,Good,Black,,Male,No,,Living,5,,
Gulliver Jones,Marvel,Earth-616,Secret Identity,Good,Brown,Brown,Male,No,,Living,5,"1993, November 01",1993
Gullveig,Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Female,No,,Living,4,"2022, October 12",2012
Gullywhump,Marvel,Earth-616,,Good,,No Hair,,No,,Living,3,"1986, February 01",1986
Gummi,Marvel,Earth-616,Public Identity,Good,Green,Black,Female,No,,Living,3,"1997, July 01",1997
Gun Metal,Marvel,Earth-616,Secret Identity,,,,,No,,Deceased,3,"2022, February 11",2011
Gunbunny,DC,New Earth,Secret Identity,Bad,Blue,Blond,Female,No,,Deceased,19,"1994, May",1994
Gungnir (Robot),Marvel,Earth-616,No Dual Identity,Bad,,No Hair,Agender,No,,Living,3,,
Gunhawk,Marvel,Earth-616,Secret Identity,Neutral,,Brown,Male,No,,Deceased,11,"1970, August 01",1970
Gunmetal Gray,Marvel,Earth-616,Secret Identity,Bad,,Black,Male,No,,Living,1,"2022, September 01",2001
Gunna (Valkyries),Marvel,Earth-616,Public Identity,Good,,Blond,Female,No,,Living,,,
Gunna Sijurvald,Marvel,Earth-616,Secret Identity,Neutral,Brown,Black,Female,No,,Living,41,"2022, August 10",2010
Gunnar,Marvel,Earth-616,,Good,,Light Brown,Male,No,,Living,2,"1985, January 01",1985
Gunnar (SHE),Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Living,2,"2000, December 01",2000
Gunner MacKay,DC,New Earth,Public Identity,Good,Blue,Blond,Male,No,,Deceased,123,"1959, May",1959
Gunnhild,Marvel,Earth-616,,Good,,Red,Female,No,,Living,32,"1984, December 01",1984
Guns Gummy,Marvel,Earth-616,Secret Identity,Bad,,Yellow,Male,No,,Living,6,"1989, November 01",1989
Gunshot,Marvel,Earth-616,,Bad,,,Male,No,,Living,2,"1995, December 01",1995
Gunshot,DC,New Earth,Secret Identity,Bad,Blue,Black,Male,No,,Living,7,"1993, August",1993
Gunsmoke Kid,Marvel,Earth-616,Secret Identity,Good,,Black,Male,No,,Living,1,"1959, September 01",1959
Gunthar,Marvel,Earth-616,No Dual Identity,Bad,,,Male,No,,Living,12,"1985, May 01",1985
Gunther,DC,New Earth,,Good,,,Male,No,,Living,7,"1989, March",1989
Gunther Bain,Marvel,Earth-616,Secret Identity,Bad,Blue,Black,Male,No,,Deceased,51,"1964, November 01",1964
Gunther Hardwicke,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,9,"1958, March",1958
Gunther Herschein,Marvel,Earth-616,Secret Identity,Bad,,Blond,Male,No,,Deceased,2,"2022, May 04",2004
Gunther Steiner,DC,New Earth,Public Identity,Good,,,Male,No,,Living,3,"1988, January",1988
Gunther Strauss,Marvel,Earth-616,Secret Identity,Bad,,Bald,Male,No,,Deceased,2,"1943, January 01",1943
Gunther Van Horn,DC,New Earth,,Bad,,Brown,Male,No,,Deceased,12,"1993, October",1993
Gur,Marvel,Earth-616,Secret Identity,Good,,,Male,No,,Deceased,1,"2022, July 12",2012
Gus Gray,DC,New Earth,,Good,Black,,Male,No,,Deceased,16,"1973, April",1973
Gus Grim,Marvel,Earth-616,No Dual Identity,Good,Brown,Black,Male,No,,Living,4,"2022, September 11",2011
Gus Ronson,Marvel,Earth-616,No Dual Identity,Bad,,Black,Male,No,,Deceased,1,"1939, October 01",1939
Gus Yaccarino,Marvel,Earth-616,,Bad,,Black,Male,No,,Deceased,1,"1993, June 01",1993
Gustav Brandt,Marvel,Earth-616,Secret Identity,Neutral,,,Male,No,,Living,34,"1970, January 01",1970
Gustav Hauptmann,Marvel,Earth-616,,,,,,No,,Deceased,7,"1969, April 01",1969
Gustav Krueger,Marvel,Earth-616,Secret Identity,Bad,Brown,Grey,Male,No,,Deceased,35,"1985, October 01",1985
Gustave,DC,New Earth,,Bad,,Black,Male,No,,Living,2,"1959, June",1959
Gustave Kucharsky,Marvel,Earth-616,Public Identity,,,Blond,Male,No,,Deceased,5,"2022, July 04",2004
Gustave Leech,Marvel,Earth-616,Public Identity,Bad,,Bald,Male,No,,Deceased,1,"1942, May 01",1942
Gustave Roch Uderzo,Marvel,Earth-616,Public Identity,,,,Male,No,,Living,1,"1987, July 01",1987
Gustavo Zapata,Marvel,Earth-616,,Bad,Brown,,Male,No,,Living,9,"2022, April 09",2009
Guy Cross-Wallace,Marvel,Earth-616,Public Identity,,Brown,Black,Male,No,,Deceased,9,"1991, January 01",1991
Guy Dax,DC,New Earth,Secret Identity,Bad,Green,Brown,Male,No,,Living,7,"2008, June",2008
Guy de Montfort,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,1,"1955, September 01",1955
Guy Dimond,Marvel,Earth-616,,Good,,,Male,No,,Living,1,"2022, April 09",2009
Guy Gardner,DC,New Earth,Public Identity,Good,Blue,Red,Male,No,,Living,593,"1968, March",1968
Guy Pompton,DC,New Earth,,Bad,,,Male,No,,Living,2,"1948, December",1948
Guy Smith,Marvel,Earth-616,Secret Identity,Good,Purple,White,Male,No,,Deceased,50,"2022, August 01",2001
Guy Stanford,Marvel,Earth-616,Public Identity,Bad,,Brown,Male,No,,Deceased,1,"1942, March 01",1942
Guy Thierrault,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,6,"2022, September 06",2006
Gwen (Daydream),Marvel,Earth-616,,,Green,Green,Female,No,,Living,7,"2022, March 05",2005
Gwendoline Harper,DC,New Earth,Public Identity,Good,Blue,Blond,Female,No,,Living,3,"2008, December",2008
Gwendolyn Lane,DC,New Earth,,Good,,Black,Female,No,,Deceased,4,"2008, February",2008
Gwendolyne Sabuki,Marvel,Earth-616,Secret Identity,Good,Brown,Black,Female,No,,Deceased,12,"1978, March 01",1978
Gwendolyne Stacy,Marvel,Earth-616,No Dual Identity,Good,Blue,Blond,Female,No,,Deceased,384,"1965, December 01",1965
Gwendolyne Stacy (Abby-L),Marvel,Earth-616,Public Identity,Neutral,,Blond,Female,No,,Deceased,1,"2022, October 11",2011
Gwendolyne Stacy (Clone),Marvel,Earth-616,Secret Identity,Neutral,Blue,Blond,Female,No,,Deceased,42,"1975, March 01",1975
Gwenny Lee,Marvel,Earth-616,,,,Black,Female,No,,Living,3,"1969, November 01",1969
Gwyneth,Marvel,Earth-616,Public Identity,,Blue,Black,Female,No,,Deceased,3,"1998, November 01",1998
Gwyneth Burke,Marvel,Earth-616,,,,,Female,No,,Living,1,"1997, December 01",1997
Gwyneth Tate,DC,New Earth,Public Identity,Neutral,,Red,Female,No,,Living,4,"1986, December",1986
Gymir,Marvel,Earth-616,,,,,Male,No,,Living,,,
Gynt,Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,2,"2022, January 11",2011
Gyp,DC,New Earth,,Good,,Blond,Male,No,,Living,1,"1989, April",1989
Gypper Zilich,DC,New Earth,,,,Black,Male,No,,Living,1,"1941, July",1941
Gyre (Raptor),Marvel,Earth-616,No Dual Identity,Bad,,,,No,,Living,3,"2022, January 10",2010
Gyre (Twisted Sisters),Marvel,Earth-616,,Bad,,,Female,No,,Living,3,"1999, May 01",1999
Gyrk,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1987, September 01",1987
Gyro,DC,New Earth,Secret Identity,Bad,,,Male,No,,Living,2,"1993, April",1993
Gzoom,Marvel,Earth-616,Public Identity,Neutral,,No Hair,Male,No,,Living,1,"1994, May 01",1994
H. Schwandt,Marvel,Earth-616,,Bad,,,Male,No,,Living,1,"1994, June 01",1994
H. Warren Craddock,Marvel,Earth-616,,Good,,,Male,No,,Living,2,"1972, March 01",1972
H. Warren Craddock (Skrull),Marvel,Earth-616,,Bad,Green,No Hair,Male,No,,Deceased,11,"1962, January 01",1962
H.E.L.E.N.,Marvel,Earth-616,No Dual Identity,Good,,,Agender,No,,Living,24,"2022, January 13",2013
H.R. O'Damia,Marvel,Earth-616,Secret Identity,Good,,Brown,Female,No,,Living,,"1994, June 01",1994
H'jke Jeeku,Marvel,Earth-616,No Dual Identity,Neutral,Green,No Hair,Male,No,,Deceased,,"2022, March 09",2009
H'kurrek,Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Male,No,,Deceased,,"2022, October 08",2008
H'Rham,Marvel,Earth-616,Public Identity,Good,,,Male,No,,Living,,"2022, July 05",2005
H'ronmeer,DC,New Earth,Secret Identity,Good,Yellow,,Male,No,,Living,,"1988, May",1988
H'rpra,Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Female,No,,Deceased,,"1993, February 01",1993
Haag (Asgardian),Marvel,Earth-616,,Bad,,,Female,No,,Living,15,"1969, June 01",1969
Haag (Deviant),Marvel,Earth-616,,Bad,,,Female,No,,Living,1,"1991, November 01",1991
Haaken,Marvel,Earth-616,,Good,,,Male,No,,Living,1,"1989, May 01",1989
Haakun,Marvel,Earth-616,Public Identity,Good,,Black,Male,No,,Living,1,"1965, March 01",1965
Haasp,DC,New Earth,,Bad,,,Male,No,,Living,3,"2007, August",2007
Hack (Mutant),Marvel,Earth-616,,Good,,Black,Male,No,,Living,8,"2022, August 04",2004
Hacken,DC,New Earth,Public Identity,Neutral,Brown,Brown,Male,No,,Living,29,"1996, April",1996
Hackett,DC,New Earth,Public Identity,Bad,Brown,Brown,Male,No,,Living,5,"2007, September",2007
Hackett Zemo,Marvel,Earth-616,Public Identity,Neutral,,Blond,Male,No,,Deceased,,"2022, May 07",2007
Hacohen,DC,New Earth,,Good,,Black,Male,No,,Living,8,"1990, September",1990
Hadad,Marvel,Earth-616,,,Red,No Hair,Male,No,,Living,13,"1989, September 01",1989
Hademar Zemo,Marvel,Earth-616,Public Identity,Bad,Blue,Brown,Male,No,,Deceased,1,"2022, April 07",2007
Hades,DC,New Earth,Public Identity,Neutral,Black,Black,Male,No,,Living,32,"1941, December",1941
Hadj,Marvel,Earth-616,Secret Identity,Neutral,Yellow,No Hair,Female,No,,Living,4,"1986, April 01",1986
Hadley Jaggar,DC,New Earth,Secret Identity,Good,Blue,Blond,Male,No,,Deceased,19,,
Haemon,Marvel,Earth-616,No Dual Identity,Neutral,Red,No Hair,Male,No,,Living,2,"1978, October 01",1978
Hafaza,Marvel,Earth-616,Secret Identity,Good,Blue,Blond,Male,No,,Living,1,"2000, April 01",2000
Hafga,Marvel,Earth-616,,Neutral,,No Hair,,No,,Living,6,"1991, February 01",1991
Hafnium (Element),Marvel,Earth-616,,Bad,Red,No Hair,,No,,Living,2,"1997, September 01",1997
Hag,Marvel,Earth-616,Secret Identity,Bad,,,Female,No,,Living,6,"1992, March 01",1992
Hag (Human Torch Foe),Marvel,Earth-616,Secret Identity,Bad,,Black,Female,No,,Deceased,1,"1941, May 01",1941
Hagar,Marvel,Earth-616,Secret Identity,Bad,Green,No Hair,Male,No,,Living,2,"1979, May 01",1979
Hagen,Marvel,Earth-616,Public Identity,Bad,,Black,Male,No,,Living,4,"1986, January 01",1986
Hagen,DC,New Earth,Public Identity,Bad,Grey,Grey,Male,No,,Living,10,"2003, March",2003
Haifisch,DC,New Earth,Public Identity,Bad,Blue,Grey,Male,No,,Deceased,6,"1984, April",1984
Hairball 2,Marvel,Earth-616,Secret Identity,Good,,White,Male,No,,Living,4,"2022, May 10",2010
Hairy Larry,DC,New Earth,Secret Identity,Good,,Red,Male,No,,Living,2,"1976, January",1976
Hakon,Marvel,Earth-616,No Dual Identity,Bad,,Brown,Male,No,,Living,1,"1984, December 01",1984
Hakurei,Marvel,,,Bad,,,Male,No,,Living,,"2022, May 04",2004
Hal (Warpies),Marvel,Earth-616,Secret Identity,Bad,,,Male,No,,Living,2,"1986, January 01",1986
Hal Flynt,Marvel,Earth-616,,Neutral,,,Female,No,,Deceased,9,"1995, January 01",1995
Hal Goldman,Marvel,Earth-616,,,Brown,Brown,Male,No,,Living,2,"1990, July 01",1990
Hal Jordan,Marvel,Earth-616,Public Identity,Good,,Brown,Male,No,,Living,1,"1945, March 01",1945
Hal Tolliver,Marvel,Earth-616,,,,,Male,No,,Living,1,"2022, February 04",2004
Halcon D'Oro,Marvel,Earth-616,Secret Identity,,,,Male,No,,Living,,"1979, December 01",1979
Haleena,Marvel,Earth-616,Public Identity,Neutral,,Black,Female,No,,Living,3,"2022, June 11",2011
Haley Blanding,Marvel,Earth-616,Public Identity,Good,Brown,Brown,Female,No,,Deceased,1,"1997, July 01",1997
Hallucinatra,DC,New Earth,Secret Identity,Bad,Red,White,Male,No,,Living,3,"2002, August",2002
Halphas,Marvel,Earth-616,Secret Identity,Bad,Red,Brown,Male,No,,Living,3,"2022, November 05",2005
